reporter,reporter_name,commodity,imports_usd,exports_usd,ratio,role
156,China,8105,2657032206.0,197703112.0,0.06925444567607371,sink
276,Germany,8105,151966931.401,164203130.773,0.5193506609826739,processor
392,Japan,8105,283279537.839,130567109.376,0.31549635657231334,processor
56,Belgium,8105,99804536.086,123427543.477,0.5529113186537628,processor
36,Australia,8105,9345600.056,98867166.671,0.9136368070176308,source
528,Netherlands,8105,67878812.049,72793327.149,0.5174679759901948,processor
458,Malaysia,8105,53790828.149000004,65801082.638000004,0.5502134902351002,processor
792,Türkiye,8105,26101728.0,30096933.0,0.5355453753604557,processor
699,India,8105,106009951.271,22597842.067,0.17571129618567968,sink
40,Austria,8105,34465257.769999996,15282777.184,0.30720363524170086,processor
702,Singapore,8105,60697376.941,14594673.67,0.1938408311576488,sink
710,South Africa,8105,1468201.817,14500311.457,0.9080564488498417,source
410,Rep. of Korea,8105,158866352.0,9517615.0,0.05652328526028847,sink
372,Ireland,8105,63494541.357999995,8496562.321,0.11802239286239019,sink
380,Italy,8105,47698507.587,7672601.0309999995,0.13856686677401645,sink
203,Czechia,8105,7651184.0,2643148.0,0.2567576021445588,sink
752,Sweden,8105,13950871.193,2621260.695,0.15817281160416502,sink
724,Spain,8105,29837135.055,1355193.57,0.043446373827757144,sink
76,Brazil,8105,33844424.0,1005052.0,0.02883980235456051,sink
484,Mexico,8105,6597872.0,989273.0,0.13038804451476807,sink
616,Poland,8105,4930090.0,368506.0,0.0695478575834051,sink
764,Thailand,8105,14961046.832,209390.60900000003,0.013802542597360823,sink
246,Finland,8105,1767376.8080000002,64175.454000000005,0.03503883308790891,sink
360,Indonesia,8105,2713156.0,58541.79,0.021121274552807576,sink
208,Denmark,8105,648334.2000000001,21325.592999999997,0.03184541348146908,sink
704,Viet Nam,8105,9835284.243,20086.004,0.0020380770581515423,sink
152,Chile,8105,430434.72000000003,0.0,0.0,sink
