commodity,importer,exporter,importer_says,importer_kg,exporter_says,exporter_kg,ratio,excess_gap,abs_gap,usd_discrepancy,importer_name,exporter_name
2836,36,792,1802105.442,5099350.0,1165947.0,5250305.0,1.5456152312240607,0.4377816104409869,0.4377816104409869,548712.4170000001,Australia,Türkiye
2836,36,826,1737096.561,929800.6,1626454.581,529585.0,1.0680264799844417,-0.006486995363309968,0.006486995363309968,11342.11357499985,Australia,United Kingdom
2836,36,842,87853429.621,205080469.265,81199306.0,222002935.0,1.0819480356272997,0.006463288955627554,0.006463288955627554,564175.6710000038,Australia,USA
2836,40,56,3866441.42,7874335.0,1567842.555,5006421.21,2.466090365814825,1.2940375495951864,1.2940375495951864,2181010.6733750002,Austria,Belgium
2836,40,276,23239255.561,28299565.0,18258822.114,20175522.95,1.2727686055488343,0.18397079585938095,0.18397079585938095,3611021.7884500027,Austria,Germany
2836,40,380,5664113.214,3015921.0,1771409.942,691243.0,3.197516893015157,1.9744343190838674,1.9744343190838674,3759847.52635,Austria,Italy
2836,40,826,2716579.281,217235.641,2609213.759,207745.0,1.0411486110057724,-0.03148966418067687,0.03148966418067687,88325.5099249999,Austria,United Kingdom
2836,56,152,13597327.81,288050.75,116489218.32,3836000.0,0.11672606277301699,-0.8914176160251005,0.8914176160251005,111628581.88399999,Belgium,Chile
2836,56,156,2227023.267,1419931.13,4200742.0,1978768.426,0.5301499751710531,-0.5068372323990203,0.5068372323990203,2288774.3829999994,Belgium,China
2836,56,276,42219043.71,93903986.12,41005691.756,61983011.919,1.029589842337496,-0.042242007127910645,0.042242007127910645,1862074.927699998,Belgium,Germany
2836,56,380,1290686.903,2224503.294,1051019.049,3514488.0,1.2280337870450908,0.14235701120473573,0.14235701120473573,160841.42532499996,Belgium,Italy
2836,56,410,1044275.33,537458.79,3076049.0,1603005.0,0.3394859217132107,-0.6841991425923621,0.6841991425923621,2262477.3449999997,Belgium,Rep. of Korea
2836,56,528,25136859.898,32914715.57,23916001.046,90028818.0,1.0510477838519827,-0.022281131300481215,0.022281131300481215,572841.22645,Belgium,Netherlands
2836,56,616,1759985.339,1848575.962,1143056.0,1520528.0,1.5397192604736776,0.43229698648714193,0.43229698648714193,531200.139,Belgium,Poland
2836,56,724,2859901.4,5173711.19,5188755.923,7777569.628,0.5511728519206356,-0.4872810679808042,0.4872810679808042,2718011.2172250007,Belgium,Spain
2836,56,792,21210827.334,56271706.24,65379343.0,202065152.0,0.32442704928986515,-0.6982073960094277,0.6982073960094277,49071966.390999995,Belgium,Türkiye
